New Unit no.;30;31;32;33;34;35;36;37;38;39;;AVR from paper;;;
Default Unit no.;30;31;32;33;34;35;36;37;38;39;;;;;
Type;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;AVRTypeI;;;pagina 98 neplan;;
Tr;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;;;;
Vmax;10;10;10;10;10;10;10;10;10;10;;;;;
Vmin;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;;;;;
Ta;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;
Te;0.785;0.785;0.785;0.785;0.785;0.785;0.785;0.785;0.785;0.785;;;;initial;from avr_old
Tf;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;not given;;0.001;0.01
Ka;40;40;40;40;40;40;40;40;40;40;;reduced gain;;;
Ke;1;1;1;1;1;1;1;1;1;1;;;;;
Kf;0;0;0;0;0;0;0;0;0;0;;not given;;0.001;0
Ae;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;;;;;
Be;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;0.91;;;;;
